train_ratio,combo_idx,lr,hidden_dim,num_layers,lambda1,lambda2,d,avg_rmse
70%,43,0.008,128,4,0.7,0.1,0.5,0.0530326173100906
70%,44,0.008,128,4,0.85,0.15,0.65,0.0493082971545528
70%,45,0.008,128,4,1.0,0.2,0.75,0.0471416669693658
70%,46,0.008,160,2,0.7,0.1,0.5,0.0416972777701987
70%,47,0.008,160,2,0.85,0.15,0.65,0.0463604232729097
70%,48,0.008,160,2,1.0,0.2,0.75,0.0448536088003056
70%,49,0.008,160,3,0.7,0.1,0.5,0.0503809666750983
70%,50,0.008,160,3,0.85,0.15,0.65,0.0463075185936173
70%,51,0.008,160,3,1.0,0.2,0.75,0.0473129587242074
70%,52,0.008,160,4,0.7,0.1,0.5,0.0530599923985324
70%,53,0.008,160,4,0.85,0.15,0.65,0.0535938253372503
70%,54,0.008,160,4,1.0,0.2,0.75,0.0532181458697785
70%,55,0.01,96,2,0.7,0.1,0.5,0.0543103058615943
70%,56,0.01,96,2,0.85,0.15,0.65,0.0509923214206519
70%,57,0.01,96,2,1.0,0.2,0.75,0.0497192995825852
70%,58,0.01,96,3,0.7,0.1,0.5,0.0491143324220075
70%,59,0.01,96,3,0.85,0.15,0.65,0.0520405632892123
70%,60,0.01,96,3,1.0,0.2,0.75,0.0485150777728798
70%,61,0.01,96,4,0.7,0.1,0.5,0.0518274476338425
70%,62,0.01,96,4,0.85,0.15,0.65,0.0504061580127136
70%,63,0.01,96,4,1.0,0.2,0.75,0.0567296362037431
70%,64,0.01,128,2,0.7,0.1,0.5,0.0453044096884088
70%,65,0.01,128,2,0.85,0.15,0.65,0.0469625191980611
70%,66,0.01,128,2,1.0,0.2,0.75,0.0462394014005678
70%,67,0.01,128,3,0.7,0.1,0.5,0.0472478539593801
70%,68,0.01,128,3,0.85,0.15,0.65,0.0450943499088181
70%,69,0.01,128,3,1.0,0.2,0.75,0.0439313957517297
70%,70,0.01,128,4,0.7,0.1,0.5,0.04874161829641
70%,71,0.01,128,4,0.85,0.15,0.65,0.056176637182529
70%,72,0.01,128,4,1.0,0.2,0.75,0.0511097319914023
70%,73,0.01,160,2,0.7,0.1,0.5,0.0366173853372164
70%,74,0.01,160,2,0.85,0.15,0.65,0.0459212382203594
70%,75,0.01,160,2,1.0,0.2,0.75,0.0486924629033144
70%,76,0.01,160,3,0.7,0.1,0.5,0.0519958289808673
70%,77,0.01,160,3,0.85,0.15,0.65,0.0516884122757827
70%,78,0.01,160,3,1.0,0.2,0.75,0.0500735823385727
70%,79,0.01,160,4,0.7,0.1,0.5,0.0477196890509019
70%,80,0.01,160,4,0.85,0.15,0.65,0.061408673459171
70%,81,0.01,160,4,1.0,0.2,0.75,0.0541380234860387
